S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
2749,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,935992,1,Dhamwal,Dhamwal,Inhabitant,,0,Report$,,,
2750,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,935991,1,Gole,Gole,Inhabitant,,0,Report$,,,
2751,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5864,3,Khanpur Bhawan,,Inhabitant,536600,5864,Report$,,,
2752,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5861,3,Chak Dai,,Inhabitant,536300,5861,Report$,,,
2753,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5870,3,Nandni,,Inhabitant,537200,5870,Report$,,,
2754,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5863,3,Badhrore,Badhrore,Inhabitant,536500,5863,Report$,,,
2755,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5860,4,Chak Lal Din,Chak Lal Din,Inhabitant,536200,5860,Report$,,,
2756,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5866,4,Tarlokpur,,Inhabitant,536800,5866,Report$,,,
2757,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5981,4,Chak Gulami,Chak Gulami,Inhabitant,,5981,Report$,,,
2758,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5862,4,Sari Rakwalan,Sari Rakwalan,Inhabitant,536400,5862,Report$,,,
2759,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5714,4,Sehora,Sehora,Inhabitant,521300,5714,Report$,,,
2760,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5828,4,Chak Pouni Wand Brahamna,,Inhabitant,533000,5828,Report$,,,
2761,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5830,4,Chak Poni Wand Waziran,,Inhabitant,533200,5830,Report$,,,
2762,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5865,4,Kharian,,Inhabitant,536700,5865,Report$,,,
2763,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5867,4,Ranjitpur,Ranjitpur,Inhabitant,536900,5867,Report$,,,
2764,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5868,4,Kharbuza,Kharbuza,Inhabitant,537000,5868,Report$,,,
2765,1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West,5982,4,Gujral,Gujral,Inhabitant,,5982,Report$,,,
2766,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,936723,1,Goduflal,,Inhabitant,,0,Report$,,,
2767,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1690,1,Billawar,,Inhabitant,611500,1690,Report$,,,
2768,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1706,1,Malti,,Inhabitant,613100,1706,Report$,,,
2769,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1716,1,Bhaddu,,Inhabitant,614100,1716,Report$,,,
2770,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1703,1,Pallan,,Inhabitant,612800,1703,Report$,,,
2771,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1691,1,Kishan Pur,,Inhabitant,611600,1691,Report$,,,
2772,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1698,1,Tilla,,Inhabitant,612300,1698,Report$,,,
2773,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1699,1,Dewal,,Inhabitant,612400,1699,Report$,,,
2774,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1661,1,Marhoon,,Inhabitant,608600,1661,Report$,,,
2775,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1684,1,Mandli,,Inhabitant,610900,1684,Report$,,,
2776,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1685,1,Rampur,,Inhabitant,611000,1685,Report$,,,
2777,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1663,1,Baggan,,Inhabitant,608800,1663,Report$,,,
2778,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1717,1,Dharalta,,Inhabitant,614200,1717,Report$,,,
2779,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1700,1,Seri,,Inhabitant,612500,1700,Report$,,,
2780,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1689,1,Sukral,,Inhabitant,611400,1689,Report$,,,
2781,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1708,1,Dungara,,Inhabitant,613300,1708,Report$,,,
2782,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1705,2,Dher,,Inhabitant,613000,1705,Report$,,,
2783,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1701,2,Mooni,,Inhabitant,612600,1701,Report$,,,
2784,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1702,2,Parnalla,,Inhabitant,612700,1702,Report$,,,
2785,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1683,2,Durang,,Inhabitant,610800,1683,Report$,,,
2786,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1704,2,Beril,,Inhabitant,612900,1704,Report$,,,
2787,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1688,2,Batheri,,Inhabitant,611300,1688,Report$,,,
2788,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1665,2,Dhanuparole,,Inhabitant,609000,1665,Report$,,,
2789,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1686,2,Kohag,,Inhabitant,611100,1686,Report$,,,
2790,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1707,2,Dharamkot,,Inhabitant,613200,1707,Report$,,,
2791,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1695,2,Hottar,,Inhabitant,612000,1695,Report$,,,
2792,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1662,2,Dheota,,Inhabitant,608700,1662,Report$,,,
2793,1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar,1692,2,Dhar Dugnoo,,Inhabitant,611700,1692,Report$,,,
2794,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1738,1,Preta,,Inhabitant,619600,1738,Report$,,,
2795,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1724,1,Bhoond,,Inhabitant,618200,1724,Report$,,,
2796,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1723,1,Janu,,Inhabitant,618100,1723,Report$,,,
2797,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1719,1,Khaddi,,Inhabitant,617500,1719,Report$,,,
2798,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1721,1,Draman,,Inhabitant,617800,1721,Report$,,,
2799,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,936196,1,Barote,,Inhabitant,,0,Report$,,,
2800,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1742,1,Thana,,Inhabitant,620000,1742,Report$,,,
2801,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1739,1,Plakh,,Inhabitant,619700,1739,Report$,,,
2802,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,936198,1,Bhiker,,Inhabitant,,0,Report$,,,
2803,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,936197,1,Basohli,,Inhabitant,,0,Report$,,,
2804,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1756,1,Plahi,,Inhabitant,621400,1756,Report$,,,
2805,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1754,1,Kothi,,Inhabitant,621200,1754,Report$,,,
2806,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1733,1,Mandla,,Inhabitant,619100,1733,Report$,,,
2807,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1720,1,Hutt,,Inhabitant,617700,1720,Report$,,,
2808,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1732,2,Sandhar,,Inhabitant,619000,1732,Report$,,,
2809,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1735,2,Saman,,Inhabitant,619300,1735,Report$,,,
2810,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1729,2,DharJankhar,,Inhabitant,618700,1729,Report$,,,
2811,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1736,2,Jankher,,Inhabitant,619400,1736,Report$,,,
2812,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1730,2,Jandrali,,Inhabitant,618800,1730,Report$,,,
2813,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1734,2,Rehan,,Inhabitant,619200,1734,Report$,,,
2814,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1726,2,Sialag,,Inhabitant,618400,1726,Report$,,,
2815,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1727,2,Nagali,,Inhabitant,618500,1727,Report$,,,
2816,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1728,2,Godal,,Inhabitant,618600,1728,Report$,,,
2817,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1722,2,Dana,,Inhabitant,617900,1722,Report$,,,
2818,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1755,2,Plassi,,Inhabitant,621300,1755,Report$,,,
2819,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1737,2,Kagrore,,Inhabitant,619500,1737,Report$,,,
2820,1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli,1731,2,Dodla,,Inhabitant,618900,1731,Report$,,,
2821,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1778,1,Gatti,,Inhabitant,616400,1778,Report$,,,
2822,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1768,1,Duggan,,Inhabitant,615400,1768,Report$,,,
2823,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1773,1,Kilore,,Inhabitant,615900,1773,Report$,,,
2824,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1765,1,Dhaman,,Inhabitant,615100,1765,Report$,,,
2825,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1781,1,Bari,,Inhabitant,616700,1781,Report$,,,
2826,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1788,1,Kardoh,,Inhabitant,617400,1788,Report$,,,
2827,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1779,1,Bani,,Inhabitant,616500,1779,Report$,,,
2828,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1770,1,Chandal,,Inhabitant,615600,1770,Report$,,,
2829,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1786,1,Banjal,,Inhabitant,617200,1786,Report$,,,
2830,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1767,1,Madhota,,Inhabitant,615300,1767,Report$,,,
2831,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1774,1,Bhandar,,Inhabitant,616000,1774,Report$,,,
2832,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1776,1,Fatehpur,,Inhabitant,616200,1776,Report$,,,
2833,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1769,1,Kanthal,,Inhabitant,615500,1769,Report$,,,
2834,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1775,1,Sandhi,,Inhabitant,616100,1775,Report$,,,
2835,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1783,1,Koti,,Inhabitant,616900,1783,Report$,,,
2836,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1761,1,Barmota,,Inhabitant,614700,1761,Report$,,,
2837,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1785,1,Kachir,,Inhabitant,617100,1785,Report$,,,
2838,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1763,1,Dhaggar,,Inhabitant,614900,1763,Report$,,,
2839,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1758,1,Sarthal,,Inhabitant,614400,1758,Report$,,,
2840,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1787,1,Dharor,,Inhabitant,617300,1787,Report$,,,
2841,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1780,1,Surjan,,Inhabitant,616600,1780,Report$,,,
2842,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1790,2,Challa,,Inhabitant,618000,1790,Report$,,,
2843,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1759,2,Roulka,,Inhabitant,614500,1759,Report$,,,
2844,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1764,2,Bhullari,,Inhabitant,615000,1764,Report$,,,
2845,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1782,2,Dullangal,,Inhabitant,616800,1782,Report$,,,
2846,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1762,2,Lowang,,Inhabitant,614800,1762,Report$,,,
2847,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1789,2,Siara,,Inhabitant,617600,1789,Report$,,,
2848,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1777,2,Sitti,,Inhabitant,616300,1777,Report$,,,
2849,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1766,2,Bhakoga,,Inhabitant,615200,1766,Report$,,,
2850,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1772,2,Sandroon,,Inhabitant,615800,1772,Report$,,,
2851,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1760,2,Doulka,,Inhabitant,614600,1760,Report$,,,
2852,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1784,2,Chaloge,,Inhabitant,617000,1784,Report$,,,
2853,1,JAMMU AND KASHMIR,7,KATHUA,29,Bani,1771,2,Asso,,Inhabitant,615700,1771,Report$,,,
2854,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1872,1,Barni,,Inhabitant,629700,1872,Report$,,,
2855,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,936208,1,Chak Phoola,,Inhabitant,,0,Report$,,,
2856,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,936206,1,Chak Diwan Kirpa Ram,,Inhabitant,,0,Report$,,,
2857,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1884,1,Mangota,,Inhabitant,630900,1884,Report$,,,
2858,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1905,1,Sher Pur,,Inhabitant,633000,1905,Report$,,,
2859,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1900,1,Chak Drab Khan,,Inhabitant,632500,1900,Report$,,,
2860,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1920,1,Nangal,,Inhabitant,634500,1920,Report$,,,
2861,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1927,1,Jakhbar,,Inhabitant,635200,1927,Report$,,,
2862,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1871,1,Barthindi,,Inhabitant,629600,1871,Report$,,,
2863,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1875,1,Dhanore,,Inhabitant,630000,1875,Report$,,,
2864,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1878,1,Karroh,,Inhabitant,630300,1878,Report$,,,
2865,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1811,1,Sherkotla,,Inhabitant,623600,1811,Report$,,,
2866,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1861,1,Tridwan,,Inhabitant,628600,1861,Report$,,,
2867,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1813,1,Narain Pur,,Inhabitant,623800,1813,Report$,,,
2868,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1814,1,Budhi,,Inhabitant,623900,1814,Report$,,,
2869,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1843,1,Logate,,Inhabitant,626800,1843,Report$,,,
2870,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1837,1,Bagial,,Inhabitant,626200,1837,Report$,,,
2871,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1853,1,Baroi,,Inhabitant,627800,1853,Report$,,,
2872,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1885,1,Maroli,,Inhabitant,631000,1885,Report$,,,
2873,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1803,1,Jamal Pur,,Inhabitant,622800,1803,Report$,,,
2874,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1960,1,Ramnagar,,Inhabitant,638500,1960,Report$,,,
2875,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1957,1,Bhagthali,,Inhabitant,638200,1957,Report$,,,
2876,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1909,1,Muthi Jagir,,Inhabitant,633400,1909,Report$,,,
2877,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1916,1,Amargarh,,Inhabitant,634100,1916,Report$,,,
2878,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1819,1,Nagrota,,Inhabitant,624400,1819,Report$,,,
2879,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1821,1,Dabwal,,Inhabitant,624600,1821,Report$,,,
2880,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1863,1,Domar,,Inhabitant,628800,1863,Report$,,,
2881,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1791,1,Bhorthain,,Inhabitant,621600,1791,Report$,,,
2882,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1816,1,Nanan,,Inhabitant,624100,1816,Report$,,,
2883,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,936207,1,Lakhanpur,,Inhabitant,,0,Report$,,,
2884,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1862,1,Kasori,,Inhabitant,628700,1862,Report$,,,
2885,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1882,1,Maha,,Inhabitant,630700,1882,Report$,,,
2886,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1904,1,Chak Nanak,,Inhabitant,632900,1904,Report$,,,
2887,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1881,1,Jandore,,Inhabitant,630600,1881,Report$,,,
2888,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1859,1,Hatli,,Inhabitant,628400,1859,Report$,,,
2889,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1906,1,Bigwan,,Inhabitant,633100,1906,Report$,,,
2890,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1953,1,Majra,,Inhabitant,637800,1953,Report$,,,
2891,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1917,1,Muthi Khurd,,Inhabitant,634200,1917,Report$,,,
2892,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1896,1,Chak Sardar Desa Singh,,Inhabitant,632100,1896,Report$,,,
2893,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1868,1,Basant Pur,,Inhabitant,629300,1868,Report$,,,
2894,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1913,1,Jawala Pur,,Inhabitant,633800,1913,Report$,,,
2895,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1841,1,Chak Ramchand,,Inhabitant,626600,1841,Report$,,,
2896,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1854,1,Mehtab Pur,,Inhabitant,627900,1854,Report$,,,
2897,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1842,1,Uttri,,Inhabitant,626700,1842,Report$,,,
2898,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1833,1,Palli,,Inhabitant,625800,1833,Report$,,,
2899,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1914,1,Chak Aidal,,Inhabitant,633900,1914,Report$,,,
2900,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1838,1,Barwal,,Inhabitant,626300,1838,Report$,,,
2901,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1880,1,Hote,,Inhabitant,630500,1880,Report$,,,
2902,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1954,1,Chak Devia,,Inhabitant,637900,1954,Report$,,,
2903,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1807,1,Fafal,,Inhabitant,623200,1807,Report$,,,
2904,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1831,1,Chak Shehzada,,Inhabitant,625600,1831,Report$,,,
2905,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1806,1,Kathera,,Inhabitant,623100,1806,Report$,,,
2906,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1795,1,Juthana,,Inhabitant,622000,1795,Report$,,,
2907,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1797,1,Dukhat,,Inhabitant,622200,1797,Report$,,,
2908,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1799,1,Rasooh,,Inhabitant,622400,1799,Report$,,,
2909,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1959,1,Keerian,,Inhabitant,638400,1959,Report$,,,
2910,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1892,1,Chak Gota,,Inhabitant,631700,1892,Report$,,,
2911,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1888,1,Jagat Pur,,Inhabitant,631300,1888,Report$,,,
2912,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1893,1,Rajiani,,Inhabitant,631800,1893,Report$,,,
2913,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1865,1,Gharti,,Inhabitant,629000,1865,Report$,,,
2914,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1907,1,Chak Gokal,,Inhabitant,633200,1907,Report$,,,
2915,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1890,1,Matandi,,Inhabitant,631500,1890,Report$,,,
2916,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1801,1,Manjli,,Inhabitant,622600,1801,Report$,,,
2917,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1824,1,Mahi Chak,,Inhabitant,624900,1824,Report$,,,
2918,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1845,1,Janglote,,Inhabitant,627000,1845,Report$,,,
2919,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1876,2,Mangri,,Inhabitant,630100,1876,Report$,,,
2920,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1879,2,Broandhohi,,Inhabitant,630400,1879,Report$,,,
2921,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1873,2,Dhanna,,Inhabitant,629800,1873,Report$,,,
2922,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1887,2,Rakh Jalphar,,Inhabitant,631200,1887,Report$,,,
2923,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1886,2,Chak Laxman,,Inhabitant,631100,1886,Report$,,,
2924,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1956,2,Gandyal,,Inhabitant,638100,1956,Report$,,,
2925,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1963,2,Chak Sheikhan,,Inhabitant,,1963,Report$,,,
2926,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1964,2,Chak Ram Singh,,Inhabitant,,1964,Report$,,,
2927,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1958,2,Makhsuspur,,Inhabitant,638300,1958,Report$,,,
2928,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1965,2,Govindsar,,Inhabitant,,1965,Report$,,,
2929,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1955,2,Chumber Mehtaba,,Inhabitant,638000,1955,Report$,,,
2930,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1918,2,Chhajial,,Inhabitant,634300,1918,Report$,,,
2931,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1894,2,Taraf Tajwal,,Inhabitant,631900,1894,Report$,,,
2932,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1949,2,Samper Sapla,,Inhabitant,637400,1949,Report$,,,
2933,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1903,2,Chak Bhagha,,Inhabitant,632800,1903,Report$,,,
2934,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1915,2,Parthyal,,Inhabitant,634000,1915,Report$,,,
2935,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1901,2,Chak Gadhadhar,,Inhabitant,632600,1901,Report$,,,
2936,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1899,2,Badala,,Inhabitant,632400,1899,Report$,,,
2937,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1897,2,Changran,,Inhabitant,632200,1897,Report$,,,
2938,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1895,2,Taraf Bhajwal,,Inhabitant,632000,1895,Report$,,,
2939,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1864,2,Thein,,Inhabitant,628900,1864,Report$,,,
2940,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1804,2,Bhed Blode,,Inhabitant,622900,1804,Report$,,,
2941,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1848,2,Chak Rijju,,Inhabitant,627300,1848,Report$,,,
2942,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1849,2,Kharote,,Inhabitant,627400,1849,Report$,,,
2943,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1805,2,Androte,,Inhabitant,623000,1805,Report$,,,
2944,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1856,2,Rekheh,,Inhabitant,628100,1856,Report$,,,
2945,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1857,2,Khanyara,,Inhabitant,628200,1857,Report$,,,
2946,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1860,2,Bukhat,,Inhabitant,628500,1860,Report$,,,
2947,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1809,2,Kadyar,,Inhabitant,623400,1809,Report$,,,
2948,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1840,2,Chak Chadoon,,Inhabitant,626500,1840,Report$,,,
2949,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1844,2,Sahar,,Inhabitant,626900,1844,Report$,,,
2950,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1846,2,Chak Ludan,,Inhabitant,627100,1846,Report$,,,
2951,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1832,2,Chak Munsifdhar,,Inhabitant,625700,1832,Report$,,,
2952,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1820,2,Rakh Sarkar Budhi,,Inhabitant,624500,1820,Report$,,,
2953,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1835,2,Sanora,,Inhabitant,626000,1835,Report$,,,
2954,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1839,2,Sanyari,,Inhabitant,626400,1839,Report$,,,
2955,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1823,2,Bakhrial,,Inhabitant,624800,1823,Report$,,,
2956,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1830,2,Nihalpur,,Inhabitant,625500,1830,Report$,,,
2957,1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua,1826,2,Shehar Timber,,Inhabitant,625100,1826,Report$,,,
