S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
92,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936403,1,Khanbal,,Inhabitant,,0,Report$,,,
93,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936401,1,Sarnal,,Inhabitant,,0,Report$,,,
94,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936400,1,Azadpora,,Inhabitant,,0,Report$,,,
95,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3707,1,Kanji Gund,,Inhabitant,250400,3707,Report$,,,
96,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,937208,1,Sarsoona,,Inhabitant,,0,Report$,,,
97,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936409,1,L.G. Pora,,Inhabitant,,0,Report$,,,
98,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936406,1,Ashajipora,,Inhabitant,,0,Report$,,,
99,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936407,1,Mirdanter,,Inhabitant,,0,Report$,,,
100,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,922989,2,K.G. Rania,,Inhabitant,,0,Report$,,,
101,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3733,2,Donipawa,,Inhabitant,,3733,Report$,,,
102,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3730,2,Uttersonajigund,,Inhabitant,,3730,Report$,,,
103,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3728,2,Hanji Danter,,Inhabitant,,3728,Report$,,,
104,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3726,2,Bangi Nowgam,,Inhabitant,,3726,Report$,,,
105,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3710,2,Turkutchloo,,Inhabitant,250700,3710,Report$,,,
